joint_index,repo_joint,anatomical_joint,axis_local,local_min_deg,local_max_deg,local_min_rad,local_max_rad,maps_to_global,global_axis,global_min_deg,global_max_deg,anatomical_dof_local,dof_status_local,axis_conditioning,source,notes
26,l_1_co_l,l_1_co_l,x,-26.56,26.56,-0.46356,0.46356,XG,XG,-26.56,26.56,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 front -20..+80; Guschlbauer+2022 CurrBiol 32:2334-2340 FL ThF 2-104deg -> -14..+88 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
26,l_1_co_l,l_1_co_l,y,-88.0,20.0,-1.53589,0.34907,ZG,YG,-53.8,53.8,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 front -20..+80; Guschlbauer+2022 CurrBiol 32:2334-2340 FL ThF 2-104deg -> -14..+88 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
26,l_1_co_l,l_1_co_l,z,-53.8,53.8,-0.93899,0.93899,-YG,ZG,-88.0,20.0,protraction/retraction,free,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 front -20..+80; Guschlbauer+2022 CurrBiol 32:2334-2340 FL ThF 2-104deg -> -14..+88 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
27,l_1_tr_l,l_1_tr_l,x,-53.8,35.87,-0.93899,0.62605,XG,XG,-53.8,35.87,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
27,l_1_tr_l,l_1_tr_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-17.71,26.56,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
27,l_1_tr_l,l_1_tr_l,z,-26.56,17.71,-0.46356,0.3091,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
28,l_1_fe_l,l_1_fe_l,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
28,l_1_fe_l,l_1_fe_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
28,l_1_fe_l,l_1_fe_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
29,l_1_ti_l,l_1_ti_l,x,-62.77,44.83,-1.09554,0.78243,XG,XG,-62.77,44.83,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
29,l_1_ti_l,l_1_ti_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-22.14,30.99,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
29,l_1_ti_l,l_1_ti_l,z,-30.99,22.14,-0.54088,0.38642,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
30,l_1_ta_l,l_1_ta_l,x,-53.8,53.8,-0.93899,0.93899,XG,XG,-53.8,53.8,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
30,l_1_ta_l,l_1_ta_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-26.56,26.56,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
30,l_1_ta_l,l_1_ta_l,z,-26.56,26.56,-0.46356,0.46356,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 26.3deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
31,l_1_pt_l,l_1_pt_l,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
31,l_1_pt_l,l_1_pt_l,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
31,l_1_pt_l,l_1_pt_l,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
32,l_2_co_l,l_2_co_l,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 middle -40..+60; Guschlbauer+2022 CurrBiol 32:2334-2340 ML ThF 19-139deg -> -49..+71 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
32,l_2_co_l,l_2_co_l,y,-71.0,49.0,-1.23918,0.85521,ZG,YG,-60.0,60.0,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 middle -40..+60; Guschlbauer+2022 CurrBiol 32:2334-2340 ML ThF 19-139deg -> -49..+71 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
32,l_2_co_l,l_2_co_l,z,-60.0,60.0,-1.0472,1.0472,-YG,ZG,-71.0,49.0,protraction/retraction,free,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 middle -40..+60; Guschlbauer+2022 CurrBiol 32:2334-2340 ML ThF 19-139deg -> -49..+71 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
33,l_2_tr_l,l_2_tr_l,x,-60.0,40.0,-1.0472,0.69813,XG,XG,-60.0,40.0,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
33,l_2_tr_l,l_2_tr_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
33,l_2_tr_l,l_2_tr_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
34,l_2_fe_l,l_2_fe_l,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
34,l_2_fe_l,l_2_fe_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
34,l_2_fe_l,l_2_fe_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
35,l_2_ti_l,l_2_ti_l,x,-70.0,50.0,-1.22173,0.87266,XG,XG,-70.0,50.0,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
35,l_2_ti_l,l_2_ti_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
35,l_2_ti_l,l_2_ti_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
36,l_2_ta_l,l_2_ta_l,x,-60.0,60.0,-1.0472,1.0472,XG,XG,-60.0,60.0,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
36,l_2_ta_l,l_2_ta_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
36,l_2_ta_l,l_2_ta_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 0.5deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
37,l_2_pt_l,l_2_pt_l,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
37,l_2_pt_l,l_2_pt_l,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
37,l_2_pt_l,l_2_pt_l,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
38,l_3_co_l,l_3_co_l,x,-40.73,40.73,-0.71087,0.71087,XG,XG,-40.73,40.73,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 hind -80..+20; Guschlbauer+2022 CurrBiol 32:2334-2340 HL ThF 77-164deg -> -74..+13 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
38,l_3_co_l,l_3_co_l,y,-20.0,80.0,-0.34907,1.39626,ZG,YG,-44.06,44.06,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 hind -80..+20; Guschlbauer+2022 CurrBiol 32:2334-2340 HL ThF 77-164deg -> -74..+13 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
38,l_3_co_l,l_3_co_l,z,-44.06,44.06,-0.76899,0.76899,-YG,ZG,-20.0,80.0,protraction/retraction,free,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 hind -80..+20; Guschlbauer+2022 CurrBiol 32:2334-2340 HL ThF 77-164deg -> -74..+13 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
39,l_3_tr_l,l_3_tr_l,x,-44.06,29.37,-0.76899,0.5126,XG,XG,-44.06,29.37,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
39,l_3_tr_l,l_3_tr_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-40.73,27.15,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
39,l_3_tr_l,l_3_tr_l,z,-27.15,40.73,-0.47386,0.71087,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
40,l_3_fe_l,l_3_fe_l,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
40,l_3_fe_l,l_3_fe_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
40,l_3_fe_l,l_3_fe_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
41,l_3_ti_l,l_3_ti_l,x,-51.41,36.72,-0.89727,0.64088,XG,XG,-51.41,36.72,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
41,l_3_ti_l,l_3_ti_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-47.51,33.94,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
41,l_3_ti_l,l_3_ti_l,z,-33.94,47.51,-0.59236,0.82921,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
42,l_3_ta_l,l_3_ta_l,x,-44.06,44.06,-0.76899,0.76899,XG,XG,-44.06,44.06,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
42,l_3_ta_l,l_3_ta_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-40.73,40.73,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
42,l_3_ta_l,l_3_ta_l,z,-40.73,40.73,-0.71087,0.71087,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 42.7deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
43,l_3_pt_l,l_3_pt_l,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
43,l_3_pt_l,l_3_pt_l,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
43,l_3_pt_l,l_3_pt_l,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
44,w_1_l,w_1_l,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
44,w_1_l,w_1_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
44,w_1_l,w_1_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
45,w_2_l,w_2_l,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
45,w_2_l,w_2_l,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
45,w_2_l,w_2_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
46,b_h,b_h,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,roll,locked,exact,"Theunissen+2015 JEB 218:340-352 Table 2 'Head levation range 30deg' (Carausius; 15 Medauroidea, 45 Aretaon)",Theunissen+2015 JEB 218:340-352 Fig.5D: head is NOT gaze-stabilised. Yaw is a placeholder.
46,b_h,b_h,y,-30.0,30.0,-0.5236,0.5236,ZG,YG,-15.0,15.0,yaw,free (NOT MEASURED),exact,"Theunissen+2015 JEB 218:340-352 Table 2 'Head levation range 30deg' (Carausius; 15 Medauroidea, 45 Aretaon)",Theunissen+2015 JEB 218:340-352 Fig.5D: head is NOT gaze-stabilised. Yaw is a placeholder.
46,b_h,b_h,z,-15.0,15.0,-0.2618,0.2618,-YG,ZG,-30.0,30.0,pitch / levation,free,exact,"Theunissen+2015 JEB 218:340-352 Table 2 'Head levation range 30deg' (Carausius; 15 Medauroidea, 45 Aretaon)",Theunissen+2015 JEB 218:340-352 Fig.5D: head is NOT gaze-stabilised. Yaw is a placeholder.
47,ma_r,ma_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,weak secondary,locked,n/a,NOT IN THESE PAPERS. Carried over from OmniAnt_25PCs_joint_limited.pkl,Locomotion papers only; no mandible kinematics.
47,ma_r,ma_r,y,-70.0,70.0,-1.22173,1.22173,ZG,YG,-10.0,10.0,open/close,free,n/a,NOT IN THESE PAPERS. Carried over from OmniAnt_25PCs_joint_limited.pkl,Locomotion papers only; no mandible kinematics.
47,ma_r,ma_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-70.0,70.0,(none),locked,n/a,NOT IN THESE PAPERS. Carried over from OmniAnt_25PCs_joint_limited.pkl,Locomotion papers only; no mandible kinematics.
48,an_1_r,an_1_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(none),locked,n/a,NOT MEASURED. Theunissen+2015 JEB 218:340-352 reports antennal LENGTHS only (Table 2),HS is 2-DOF; ranges need the Durr-lab antennal literature.
48,an_1_r,an_1_r,y,-60.0,60.0,-1.0472,1.0472,ZG,YG,-60.0,60.0,adduction/abduction,free (NOT MEASURED),n/a,NOT MEASURED. Theunissen+2015 JEB 218:340-352 reports antennal LENGTHS only (Table 2),HS is 2-DOF; ranges need the Durr-lab antennal literature.
48,an_1_r,an_1_r,z,-60.0,60.0,-1.0472,1.0472,-YG,ZG,-60.0,60.0,elevation/depression,free (NOT MEASURED),n/a,NOT MEASURED. Theunissen+2015 JEB 218:340-352 reports antennal LENGTHS only (Table 2),HS is 2-DOF; ranges need the Durr-lab antennal literature.
49,an_2_r,an_2_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(none),locked,n/a,NOT MEASURED,SP is 1-DOF; range not in these papers.
49,an_2_r,an_2_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-80.0,80.0,(none),locked,n/a,NOT MEASURED,SP is 1-DOF; range not in these papers.
49,an_2_r,an_2_r,z,-80.0,80.0,-1.39626,1.39626,-YG,ZG,-10.0,10.0,rotation about SP axis,free (NOT MEASURED),n/a,NOT MEASURED,SP is 1-DOF; range not in these papers.
50,an_3_r,an_3_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(passive flagellum),locked,n/a,NOT MEASURED. The flagellum has no muscles in Phasmatodea.,Passive bending only.
50,an_3_r,an_3_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(passive flagellum),locked,n/a,NOT MEASURED. The flagellum has no muscles in Phasmatodea.,Passive bending only.
50,an_3_r,an_3_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(passive flagellum),locked,n/a,NOT MEASURED. The flagellum has no muscles in Phasmatodea.,Passive bending only.
51,ma_l,ma_l,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,weak secondary,locked,n/a,NOT IN THESE PAPERS. Carried over from OmniAnt_25PCs_joint_limited.pkl,Locomotion papers only; no mandible kinematics.
51,ma_l,ma_l,y,-70.0,70.0,-1.22173,1.22173,ZG,YG,-10.0,10.0,open/close,free,n/a,NOT IN THESE PAPERS. Carried over from OmniAnt_25PCs_joint_limited.pkl,Locomotion papers only; no mandible kinematics.
51,ma_l,ma_l,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-70.0,70.0,(none),locked,n/a,NOT IN THESE PAPERS. Carried over from OmniAnt_25PCs_joint_limited.pkl,Locomotion papers only; no mandible kinematics.
52,an_1_l,an_1_l,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(none),locked,n/a,NOT MEASURED. Theunissen+2015 JEB 218:340-352 reports antennal LENGTHS only (Table 2),HS is 2-DOF; ranges need the Durr-lab antennal literature.
